ID_UC_G0,GC_UCN_MAI_2025,GC_CNT_GAD_2025,GC_UCA_KM2_2025,GC_POP_TOT_2025,GC_DEV_WIG_2025,GC_DEV_USR_2025,IN_CIS_ENE_2020,IN_CIS_TRA_2020,IN_CIS_WAT_2020,IN_CIS_WAS_2020,IN_CIS_TEL_2020,IN_CIS_HEA_2020,IN_CIS_EDU_2020,IN_CIS_ALL_2020,IN_ROA_LEN_2024,IN_ROA_DEN_2024
23,Oranjestad,Aruba,48.00,58101.15,High income,Latin America and the Caribbean,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,667030.63,0.01
24,Santa Cruz de Barahona,Dominican Republic,18.00,78420.96,Upper Middle,Latin America and the Caribbean,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,252247.57,0.01
25,Arica,Chile,35.00,121518.96,High income,Latin America and the Caribbean,0.07,0.05,0.00,0.00,0.02,0.00,0.02,0.19,682267.51,0.02
26,Willemstad,Curaçao,119.00,162058.56,High income,Latin America and the Caribbean,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,1526628.53,0.01
27,Cobija,Bolivia,12.00,71680.29,Lower Middle,Latin America and the Caribbean,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.04,198375.51,0.02
28,Ponce,Puerto Rico,44.00,85911.67,High income,Latin America and the Caribbean,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.11,642601.63,0.01
29,San Juan,Argentina,109.00,464848.05,Upper Middle,Latin America and the Caribbean,0.06,0.03,0.00,0.00,0.02,0.07,0.05,0.24,2941934.96,0.03
30,Port of Spain,Trinidad and Tobago,154.00,474069.73,High income,Latin America and the Caribbean,0.01,0.02,0.00,0.00,0.00,0.01,0.01,0.05,2045886.23,0.01
31,Fort-de-France,Martinique,43.00,91150.17,-,Latin America and the Caribbean,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.06,722312.53,0.02
32,Bridgetown,Barbados,82.00,152912.10,High income,Latin America and the Caribbean,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.02,1114648.06,0.01
33,Georgetown,Guyana,41.00,130680.07,High income,Latin America and the Caribbean,0.00,0.02,0.00,0.00,0.01,0.01,0.02,0.07,474814.94,0.01
34,Paramaribo,Suriname,102.00,253625.51,Upper Middle,Latin America and the Caribbean,0.01,0.02,0.02,0.16,0.00,0.01,0.01,0.25,1366116.35,0.01
35,Concepción,Paraguay,17.00,89487.15,Upper Middle,Latin America and the Caribbean,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,256510.92,0.02
36,Salto,Uruguay,22.00,96048.22,High income,Latin America and the Caribbean,0.02,0.02,0.00,0.00,0.00,0.01,0.00,0.06,323384.13,0.01
37,Cayenne,French Guiana,37.00,75925.31,-,Latin America and the Caribbean,0.02,0.01,0.00,0.00,0.01,0.05,0.01,0.11,486441.16,0.01
38,Mindelo,Cabo Verde,18.00,88273.88,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238965.45,0.01
39,Dakar,Senegal,277.00,3970201.79,Lower Middle,Sub-Saharan Africa,0.02,0.04,0.00,0.00,0.00,0.02,0.02,0.12,5812425.49,0.02
40,Serrekunda,Gambia,181.00,1313464.80,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,2588730.34,0.01
41,Nouadhibou,Mauritania,38.00,177468.98,Lower Middle,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,438521.95,0.01
42,Los Cristianos,Spain,22.00,61040.00,High income,Europe,0.07,0.02,0.00,0.00,0.01,0.00,0.00,0.12,386812.89,0.02
43,Bissau,Guinea-Bissau,83.00,674444.33,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,691329.30,0.01
44,Funchal,Portugal,46.00,135362.23,High income,Europe,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,724772.69,0.02
45,Dakhla,Western Sahara,33.00,180740.48,-,Northern Africa and Western Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,277857.87,0.01
46,Kamsar,Guinea,31.00,127957.55,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211381.08,0.01
47,Freetown,Sierra Leone,205.00,2150532.95,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,1734695.94,0.01
48,Reykjavik,Iceland,97.00,206894.88,High income,Europe,0.01,0.01,0.00,0.00,0.00,0.01,0.02,0.06,2565311.68,0.03
49,Kayes,Mali,43.00,287390.99,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,675623.21,0.02
50,Monrovia,Liberia,302.00,2049817.57,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,2202219.05,0.01
52,Danané,Côte d'Ivoire,17.00,101136.31,Lower Middle,Sub-Saharan Africa,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,160839.19,0.01
53,Galway,Ireland,36.00,73625.42,High income,Europe,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.05,809490.15,0.02
54,Derry/Londonderry,United Kingdom,29.00,70080.20,High income,Europe,0.04,0.01,0.00,0.00,0.01,0.00,0.01,0.08,622456.01,0.02
55,Niangoloko,Burkina Faso,14.00,73780.51,Low income,Sub-Saharan Africa,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,249680.04,0.02
56,Brest,France,42.00,127488.81,High income,Europe,0.03,0.02,0.00,0.00,0.02,0.01,0.01,0.09,943147.62,0.02
57,Dormaa Ahenkro,Ghana,17.00,84688.84,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,142860.60,0.01
58,Bechar,Algeria,30.00,200687.22,Lower Middle,Northern Africa and Western Asia,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.05,524090.20,0.02
59,St. Helier,Jersey,24.00,58332.72,High income,Europe,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,264272.48,0.01
60,Cinkassé,Togo,15.00,77949.05,Low income,Sub-Saharan Africa,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,63958.44,0.00
61,Téra,Niger,8.00,98781.27,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72748.91,0.01
62,Tanguieta,Benin,11.00,51645.32,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108323.26,0.01
63,Ostend,Belgium,35.00,82243.27,High income,Europe,0.02,0.02,0.00,0.00,0.01,0.01,0.00,0.06,621258.37,0.02
64,Idi-Iroko,Nigeria,19.00,120092.96,Lower Middle,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.03,56041.38,0.00
65,Maasvlakte,Netherlands,26.00,53774.58,High income,Europe,0.02,0.02,0.00,0.00,0.02,0.00,0.00,0.08,235700.90,0.01
66,Bergen,Norway,50.00,138237.09,High income,Europe,0.05,0.02,0.00,0.00,0.01,0.01,0.01,0.11,1181214.52,0.02
67,Aachen,Germany,60.00,218507.01,High income,Europe,0.05,0.05,0.00,0.01,0.02,0.04,0.03,0.22,1393478.77,0.02
68,Luxembourg,Luxembourg,40.00,161302.51,High income,Europe,0.09,0.05,0.00,0.00,0.03,0.01,0.01,0.23,1118951.16,0.03
69,Geneva,Switzerland,74.00,433727.03,High income,Europe,0.08,0.06,0.00,0.00,0.02,0.02,0.02,0.23,2616986.44,0.04
70,Turin,Italy,212.00,1243448.07,High income,Europe,0.09,0.07,0.00,0.00,0.01,0.02,0.03,0.26,4592304.50,0.02
71,São Tomé,São Tomé and Príncipe,35.00,154878.08,Lower Middle,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,200259.12,0.01
72,Aalborg,Denmark,41.00,101028.60,High income,Europe,0.04,0.03,0.00,0.00,0.00,0.00,0.01,0.10,936768.69,0.02
73,Bregenz,Austria,20.00,51519.49,High income,Europe,0.04,0.03,0.00,0.00,0.00,0.01,0.01,0.11,472139.71,0.02
74,Al-Kaf,Tunisia,11.00,50808.69,Lower Middle,Northern Africa and Western Asia,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,206558.30,0.02
75,Gothenburg,Sweden,191.00,599675.25,High income,Europe,0.03,0.03,0.00,0.00,0.02,0.01,0.01,0.12,5382126.79,0.03
76,Malabo,Equatorial Guinea,71.00,729478.23,Upper Middle,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,641117.49,0.01
77,Port-Gentil,Gabon,38.00,103562.43,Upper Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,373105.39,0.01
78,Limbe,Cameroon,35.00,210456.09,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,249433.90,0.01
79,Pilsen,Czechia,51.00,146255.38,High income,Europe,0.09,0.04,0.00,0.00,0.00,0.00,0.00,0.16,1642263.19,0.03
80,Szczecin,Poland,78.00,311037.12,High income,Europe,0.03,0.02,0.00,0.00,0.02,0.01,0.01,0.11,2513037.69,0.03
81,Al Zawiyah,Libya,115.00,210856.65,Upper Middle,Northern Africa and Western Asia,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.06,1231897.61,0.01
82,Ljubljana,Slovenia,65.00,252735.86,High income,Europe,0.06,0.03,0.00,0.00,0.01,0.01,0.01,0.13,2022362.79,0.03
83,Rijeka,Croatia,41.00,115636.25,High income,Europe,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.06,866799.88,0.02
84,Tômbua,Angola,9.00,78748.71,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41120.74,0.00
85,Pointe-Noire,Republic of the Congo,182.00,665655.85,Lower Middle,Sub-Saharan Africa,0.01,0.02,0.00,0.00,0.00,0.01,0.00,0.05,3141273.78,0.02
86,Moanda,Democratic Republic of the Congo,25.00,76337.07,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,369613.30,0.01
87,Valletta,Malta,100.00,366065.51,High income,Europe,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.03,1725212.56,0.02
88,Sopron,Hungary,14.00,55594.44,High income,Europe,0.05,0.01,0.00,0.00,0.01,0.00,0.00,0.09,367853.63,0.03
89,Bratislava,Slovakia,84.00,310203.92,High income,Europe,0.07,0.04,0.00,0.00,0.01,0.02,0.01,0.16,3280343.80,0.04
90,Walvis Bay,Namibia,24.00,84904.16,Upper Middle,Sub-Saharan Africa,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.05,251799.34,0.01
91,Banja Luka,Bosnia and Herzegovina,28.00,90139.77,Upper Middle,Europe,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.05,568479.34,0.02
92,Léré,Chad,14.00,74772.16,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22166.19,0.00
93,Turku,Finland,23.00,104248.06,High income,Europe,0.04,0.02,0.00,0.00,0.00,0.01,0.01,0.10,957752.07,0.04
94,Kaliningrad,Russia,102.00,438434.99,Upper Middle,Europe,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1886577.37,0.02
95,Klaipėda,Lithuania,37.00,103209.94,High income,Europe,0.03,0.02,0.00,0.00,0.00,0.00,0.01,0.08,785788.86,0.02
96,Bouar,Central African Republic,13.00,71859.11,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123294.43,0.01
97,Subotica,Serbia,25.00,79457.43,Upper Middle,Europe,0.06,0.01,0.01,0.00,0.00,0.00,0.00,0.10,465411.49,0.02
98,Nikšić,Montenegro,15.00,52874.54,Upper Middle,Europe,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,221539.77,0.01
99,Tallinn,Estonia,121.00,449860.97,High income,Europe,0.02,0.02,0.00,0.00,0.00,0.00,0.01,0.07,3404565.65,0.03
100,Tierkloof,South Africa,10.00,52800.98,Upper Middle,Sub-Saharan Africa,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,136306.13,0.01
101,Shkoder,Albania,17.00,77144.27,Upper Middle,Europe,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.05,334484.48,0.02
102,Riga,Latvia,147.00,516896.76,High income,Europe,0.05,0.05,0.00,0.00,0.01,0.02,0.04,0.19,4466522.26,0.03
103,Pejë,Kosovo,11.00,58701.70,Upper Middle,Europe,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,180980.18,0.02
104,Arad,Romania,36.00,120148.54,High income,Europe,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.08,528443.08,0.01
105,Hrodna,Belarus,55.00,395329.54,Upper Middle,Europe,0.11,0.02,0.00,0.00,0.02,0.01,0.02,0.20,1792357.63,0.03
106,Uzhhorod,Ukraine,32.00,121221.69,Lower Middle,Europe,0.05,0.01,0.00,0.00,0.01,0.01,0.01,0.10,625816.60,0.02
107,Gostivar,North Macedonia,12.00,50728.96,Upper Middle,Europe,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.04,176154.73,0.01
108,Ioannina,Greece,21.00,94899.50,High income,Europe,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,386144.84,0.02
109,Sofia,Bulgaria,201.00,1068056.50,Upper Middle,Europe,0.06,0.04,0.00,0.00,0.00,0.02,0.03,0.17,4935479.72,0.02
110,Bălți,Moldova,21.00,53610.23,Upper Middle,Europe,0.06,0.02,0.00,0.00,0.00,0.00,0.01,0.09,245651.56,0.01
111,El Geneina,Sudan,23.00,164688.12,Low income,Northern Africa and Western Asia,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,490568.05,0.02
112,Edirne,Turkey,15.00,143148.06,Upper Middle,Northern Africa and Western Asia,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.05,299494.96,0.02
113,Mongu,Zambia,33.00,121413.39,Lower Middle,Sub-Saharan Africa,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,446504.74,0.01
114,Kanye,Botswana,27.00,52205.61,Upper Middle,Sub-Saharan Africa,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,351543.25,0.01
115,Marsa Matruh,Egypt,58.00,191312.91,Lower Middle,Northern Africa and Western Asia,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.04,817397.12,0.01
116,Maseru,Lesotho,110.00,296516.07,Lower Middle,Sub-Saharan Africa,0.02,0.01,0.00,0.00,0.01,0.00,0.01,0.05,1893801.06,0.02
117,Bulawayo,Zimbabwe,173.00,492010.90,Lower Middle,Sub-Saharan Africa,0.03,0.03,0.00,0.00,0.00,0.00,0.04,0.11,1967544.26,0.01
118,Wau,South Sudan,31.00,115385.10,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,612671.75,0.02
119,Pafos,Cyprus,31.00,60664.89,High income,Northern Africa and Western Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,548454.01,0.02
120,Cibitoke,Burundi,8.00,56028.20,Low income,Sub-Saharan Africa,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,75087.65,0.01
121,Rubavu,Rwanda,70.00,342554.99,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,520354.04,0.01
122,Manzini,Swaziland,34.00,93405.68,Lower Middle,Sub-Saharan Africa,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.05,344308.97,0.01
123,Nicosia,Northern Cyprus,38.00,108410.32,High income,Northern Africa and Western Asia,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,748278.41,0.02
124,Kigoma,Tanzania,74.00,347891.77,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,986275.07,0.01
125,Bwera,Uganda,41.00,123131.25,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,324964.38,0.01
126,Matola-Rio,Mozambique,30.00,54128.19,Low income,Sub-Saharan Africa,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.05,357206.95,0.01
127,Khan Yunis,Palestine,101.00,550993.48,Upper Middle,Northern Africa and Western Asia,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.04,1475610.71,0.01
128,Ashkelon,Israel,23.00,105811.67,High income,Northern Africa and Western Asia,0.04,0.03,0.00,0.00,0.00,0.00,0.01,0.10,434570.11,0.02
129,Latakia,Syria,60.00,573263.03,Low income,Northern Africa and Western Asia,0.02,0.02,0.00,0.00,0.00,0.00,0.01,0.06,643673.83,0.01
130,Tyre,Lebanon,23.00,86568.57,Lower Middle,Northern Africa and Western Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,208160.77,0.01
131,Aqaba,Jordan,26.00,118598.64,Lower Middle,Northern Africa and Western Asia,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.06,385259.58,0.01
133,Kasungu,Malawi,15.00,59047.07,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,133695.50,0.01
134,Tabuk,Saudi Arabia,86.00,586538.04,High income,Northern Africa and Western Asia,0.01,0.02,0.00,0.00,0.02,0.00,0.01,0.06,1395048.22,0.02
135,Busia,Kenya,17.00,86348.99,Lower Middle,Sub-Saharan Africa,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,129217.12,0.01
136,Batumi,Georgia,27.00,168437.89,Upper Middle,Northern Africa and Western Asia,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.05,539893.59,0.02
137,Teseney,Eritrea,13.00,98083.89,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,238770.23,0.02
138,Al-Qa'im,Iraq,24.00,116439.68,Upper Middle,Northern Africa and Western Asia,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.04,344769.85,0.01
139,Gyumri,Armenia,23.00,84759.79,Upper Middle,Northern Africa and Western Asia,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.08,369270.09,0.02
140,Showt,Iran,7.00,90187.67,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,78246.85,0.01
141,Oral,Kazakhstan,49.00,173858.14,Upper Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.01,0.02,0.06,795649.83,0.02
142,Nakhchivan,Azerbaijan,22.00,175330.80,Upper Middle,Northern Africa and Western Asia,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,249824.31,0.01
143,Derbent,Russia,21.00,112956.13,Upper Middle,Europe,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,216695.37,0.01
144,Dhobley,Somalia,6.00,57159.53,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68868.37,0.01
145,Toliara,Madagascar,28.00,118186.76,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,296594.75,0.01
146,Harad,Yemen,10.00,61332.38,Low income,Northern Africa and Western Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34759.96,0.00
147,Ali Sabieh,Djibouti,5.00,86780.63,Lower Middle,Sub-Saharan Africa,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,85236.84,0.02
148,Moroni,Comoros,36.00,175832.47,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167943.29,0.00
149,Al Jahra,Kuwait,23.00,85787.21,High income,Northern Africa and Western Asia,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.11,520799.47,0.02
150,Mamoudzou,Mayotte,26.00,127510.66,-,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,283189.30,0.01
151,Turkmenbashy,Turkmenistan,16.00,54954.90,Upper Middle,Central and Southern Asia,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.07,129526.83,0.01
152,Manama,Bahrain,273.00,1361833.13,High income,Northern Africa and Western Asia,0.00,0.03,0.00,0.00,0.01,0.00,0.01,0.05,5260621.25,0.02
153,Doha,Qatar,392.00,1980416.13,High income,Northern Africa and Western Asia,0.04,0.06,0.00,0.00,0.00,0.00,0.02,0.15,8004087.16,0.02
154,Kungrad,Uzbekistan,23.00,63185.47,Lower Middle,Central and Southern Asia,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.04,227970.37,0.01
155,Al Ruways Industrial city,United Arab Emirates,22.00,53687.11,High income,Northern Africa and Western Asia,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.09,193091.53,0.01
156,Salalah,Oman,50.00,247073.21,High income,Northern Africa and Western Asia,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.08,771338.41,0.02
157,Le Port,Réunion,52.00,105572.31,-,Sub-Saharan Africa,0.02,0.02,0.00,0.00,0.00,0.01,0.01,0.07,660314.62,0.01
158,Islam Qala,Afghanistan,10.00,60028.42,Low income,Central and Southern Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,81389.67,0.01
159,Port Louis,Mauritius,136.00,557430.56,Upper Middle,Sub-Saharan Africa,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.05,1759773.69,0.01
160,Nijoni,Tajikistan,6.00,55619.49,Lower Middle,Central and Southern Asia,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,3193.41,0.00
161,Gwādar,Pakistan,20.00,92523.07,Lower Middle,Central and Southern Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152213.51,0.01
162,Kara-Balta,Kyrgyzstan,30.00,62857.71,Lower Middle,Central and Southern Asia,0.03,0.01,0.00,0.00,0.00,0.01,0.00,0.05,260872.48,0.01
163,Kashgar,China,57.00,498252.39,Upper Middle,Eastern and South-Eastern Asia,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.09,453317.63,0.01
164,Kralpora,India,142.00,387660.47,Lower Middle,Central and Southern Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,269037.56,0.00
165,Malé,Maldives,13.00,229283.19,Upper Middle,Central and Southern Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94600.85,0.01
166,Babathan,Nepal,40.00,105155.61,Lower Middle,Central and Southern Asia,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.03,215181.07,0.01
167,Jaffna,Sri Lanka,77.00,199496.88,Lower Middle,Central and Southern Asia,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.04,652273.63,0.01
168,Erdenet,Mongolia,18.00,97742.70,Lower Middle,Eastern and South-Eastern Asia,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,319000.28,0.02
169,Thakurgaon,Bangladesh,28.00,258371.38,Lower Middle,Central and Southern Asia,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,86646.79,0.00
170,Phuntsholing,Bhutan,3.00,76648.18,Lower Middle,Central and Southern Asia,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.06,30076.60,0.01
171,Kyauktaw,Myanmar,7.00,70158.67,Lower Middle,Eastern and South-Eastern Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40733.91,0.01
172,Banda Aceh,Indonesia,103.00,361009.82,Upper Middle,Eastern and South-Eastern Asia,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.04,1608837.10,0.02
