"","city_id","consensus_label_majority","probability","pop","city_name","country","n_studies","cluster_name","Region"
"60",61,2,0.501805844509257,0.099,"Téra","Niger",1,"Development first","Africa"
"61",62,2,0.508612025158002,0.052,"Tanguieta","Benin",0,"Development first","Africa"
"62",63,0,0.562714288063309,0.082,"Ostend","Belgium",3,"Mitigation first","Europe"
"63",64,2,0.51365315734748,0.12,"Idi-Iroko","Nigeria",0,"Development first","Africa"
"64",65,0,0.657681284741452,0.054,"Maasvlakte","Netherlands",0,"Mitigation first","Europe"
"65",66,0,0.536602909649792,0.138,"Bergen","Norway",66,"Mitigation first","Europe"
"66",67,0,0.493789570703669,0.219,"Aachen","Germany",16,"Mitigation first","Europe"
"67",68,0,0.43132049519938,0.161,"Luxembourg","Luxembourg",10,"Mitigation first","Europe"
"68",69,0,0.42525174505486,0.434,"Geneva","Switzerland",111,"Mitigation first","Europe"
"69",70,0,0.422752232883014,1.243,"Turin","Italy",172,"Mitigation first","Europe"
"70",71,2,0.693290661545953,0.155,"São Tomé","São Tomé and Príncipe",4,"Development first","Africa"
"71",72,0,0.572104101348572,0.101,"Aalborg","Denmark",17,"Mitigation first","Europe"
"72",73,0,0.529909722324923,0.052,"Bregenz","Austria",0,"Mitigation first","Europe"
"73",74,3,0.527505665103199,0.051,"Al-Kaf","Tunisia",0,"Urban planning first","Africa"
"74",75,0,0.520781538569136,0.6,"Gothenburg","Sweden",140,"Mitigation first","Europe"
"75",76,0,0.296690525947326,0.729,"Malabo","Equatorial Guinea",2,"Mitigation first","Africa"
"76",77,2,0.518323267908026,0.104,"Port-Gentil","Gabon",0,"Development first","Africa"
"77",78,2,0.768202082076937,0.21,"Limbe","Cameroon",7,"Development first","Africa"
"78",79,0,0.553062166246194,0.146,"Pilsen","Czechia",7,"Mitigation first","Europe"
"79",80,0,0.584609371668691,0.311,"Szczecin","Poland",31,"Mitigation first","Europe"
"80",81,0,0.407297810730683,0.211,"Al Zawiyah","Libya",0,"Mitigation first","Africa"
"81",82,0,0.546468490040106,0.253,"Ljubljana","Slovenia",71,"Mitigation first","Europe"
"82",83,0,0.63274066828141,0.116,"Rijeka","Croatia",22,"Mitigation first","Europe"
"83",84,3,0.440256843227115,0.079,"Tômbua","Angola",1,"Urban planning first","Africa"
"84",85,3,0.542490364947899,0.666,"Pointe-Noire","Republic of the Congo",0,"Urban planning first","Africa"
"85",86,2,0.521848610211642,0.076,"Moanda","Democratic Republic of the Congo",0,"Development first","Africa"
"86",87,0,0.584695600615569,0.366,"Valletta","Malta",6,"Mitigation first","Europe"
"87",88,0,0.58755546311476,0.056,"Sopron","Hungary",2,"Mitigation first","Europe"
"88",89,0,0.481311893309235,0.31,"Bratislava","Slovakia",44,"Mitigation first","Europe"
"89",90,3,0.385017392710973,0.085,"Walvis Bay","Namibia",3,"Urban planning first","Africa"
"90",91,0,0.70408009221158,0.09,"Banja Luka","Bosnia and Herzegovina",10,"Mitigation first","Europe"
"91",92,2,0.495012231780307,0.075,"Léré","Chad",0,"Development first","Africa"
"92",93,0,0.570016459442237,0.104,"Turku","Finland",24,"Mitigation first","Europe"
"93",94,0,0.7444569276338,0.438,"Kaliningrad","Russia",3,"Mitigation first","Europe"
"94",95,0,0.609995601503915,0.103,"Klaipėda","Lithuania",8,"Mitigation first","Europe"
"95",96,2,0.536845927905783,0.072,"Bouar","Central African Republic",0,"Development first","Africa"
"96",97,0,0.681560894860853,0.079,"Subotica","Serbia",1,"Mitigation first","Europe"
"97",98,0,0.790362599613498,0.053,"Nikšić","Montenegro",1,"Mitigation first","Europe"
"98",99,0,0.561812453781088,0.45,"Tallinn","Estonia",32,"Mitigation first","Europe"
"99",100,3,0.403343279857812,0.053,"Tierkloof","South Africa",0,"Urban planning first","Africa"
"100",101,0,0.796299823908972,0.077,"Shkoder","Albania",1,"Mitigation first","Europe"
"101",102,0,0.589693003737379,0.517,"Riga","Latvia",53,"Mitigation first","Europe"
"102",103,0,0.768653495556766,0.059,"Pejë","Kosovo",0,"Mitigation first","Europe"
"103",104,0,0.579559425469837,0.12,"Arad","Romania",2,"Mitigation first","Europe"
"104",105,0,0.574447426930766,0.395,"Hrodna","Belarus",0,"Mitigation first","Europe"
"105",106,0,0.665948712197282,0.121,"Uzhhorod","Ukraine",3,"Mitigation first","Europe"
"106",107,0,0.861807171749515,0.051,"Gostivar","North Macedonia",0,"Mitigation first","Europe"
"107",108,0,0.809147343462293,0.095,"Ioannina","Greece",5,"Mitigation first","Europe"
"108",109,0,0.468471805246357,1.068,"Sofia","Bulgaria",65,"Mitigation first","Europe"
"109",110,0,0.69547869872973,0.054,"Bălți","Moldova",1,"Mitigation first","Europe"
"110",111,2,0.511262624820704,0.165,"El Geneina","Sudan",0,"Development first","Africa"
"111",112,0,0.751800109868622,0.143,"Edirne","Turkey",10,"Mitigation first","Europe"
"112",113,3,0.562357088206106,0.121,"Mongu","Zambia",0,"Urban planning first","Africa"
"113",114,3,0.438450813226992,0.052,"Kanye","Botswana",0,"Urban planning first","Africa"
"114",115,3,0.380740084577767,0.191,"Marsa Matruh","Egypt",2,"Urban planning first","Africa"
"115",116,0,0.70917965885213,0.297,"Maseru","Lesotho",4,"Mitigation first","Africa"
"116",117,3,0.582240891320968,0.492,"Bulawayo","Zimbabwe",10,"Urban planning first","Africa"
"117",118,2,0.512209881683619,0.115,"Wau","South Sudan",0,"Development first","Africa"
"118",119,0,0.425024978437884,0.061,"Pafos","Cyprus",1,"Mitigation first","Europe"
"119",120,3,0.315147706063745,0.056,"Cibitoke","Burundi",0,"Urban planning first","Africa"
"120",121,3,0.370922239339194,0.343,"Rubavu","Rwanda",1,"Urban planning first","Africa"
"121",122,3,0.680248388937612,0.093,"Manzini","Swaziland",0,"Urban planning first","Africa"
"122",123,0,0.45876756040396,0.108,"Nicosia","Northern Cyprus",37,"Mitigation first","Europe"
"123",124,3,0.407657516314888,0.348,"Kigoma","Tanzania",2,"Urban planning first","Africa"
"124",125,2,0.529379882145306,0.123,"Bwera","Uganda",0,"Development first","Africa"
"125",126,2,0.422370008181286,0.054,"Matola-Rio","Mozambique",0,"Development first","Africa"
"126",127,3,0.376758834817389,0.551,"Khan Yunis","Palestine",0,"Urban planning first","Asia"
"127",128,0,0.452590453482788,0.106,"Ashkelon","Israel",3,"Mitigation first","Asia"
"128",129,3,0.490589902919177,0.573,"Latakia","Syria",2,"Urban planning first","Asia"
"129",130,3,0.450879529466118,0.087,"Tyre","Lebanon",0,"Urban planning first","Asia"
"130",131,3,0.380761164238344,0.119,"Aqaba","Jordan",11,"Urban planning first","Asia"
"131",133,3,0.615539338722958,0.059,"Kasungu","Malawi",0,"Urban planning first","Africa"
"132",134,3,0.37660661280955,0.587,"Tabuk","Saudi Arabia",9,"Urban planning first","Asia"
"133",135,2,0.47878388452766,0.086,"Busia","Kenya",0,"Development first","Africa"
"134",136,0,0.706288112013803,0.168,"Batumi","Georgia",0,"Mitigation first","Asia"
"135",137,2,0.518663423498497,0.098,"Teseney","Eritrea",0,"Development first","Africa"
"136",138,3,0.540425452444851,0.116,"Al-Qa'im","Iraq",1,"Urban planning first","Asia"
"137",139,0,0.88552787332761,0.085,"Gyumri","Armenia",2,"Mitigation first","Asia"
"138",140,0,0.705750037449009,0.09,"Showt","Iran",0,"Mitigation first","Asia"
"139",141,0,0.820235756086189,0.174,"Oral","Kazakhstan",0,"Mitigation first","Asia"
"140",142,0,0.66525411412397,0.175,"Nakhchivan","Azerbaijan",1,"Mitigation first","Asia"
"141",143,0,0.83787100762789,0.113,"Derbent","Russia",4,"Mitigation first","Europe"
"142",144,2,0.527725099871691,0.057,"Dhobley","Somalia",0,"Development first","Africa"
"143",145,3,0.528592755291874,0.118,"Toliara","Madagascar",1,"Urban planning first","Small Islands"
"144",146,3,0.524366538125473,0.061,"Harad","Yemen",0,"Urban planning first","Asia"
"145",147,2,0.467405025989586,0.087,"Ali Sabieh","Djibouti",0,"Development first","Africa"
"146",148,2,0.653204654238179,0.176,"Moroni","Comoros",1,"Development first","Africa"
"147",149,3,0.362253881656868,0.086,"Al Jahra","Kuwait",0,"Urban planning first","Asia"
"148",150,2,0.493710432083639,0.128,"Mamoudzou","Mayotte",0,"Development first","Africa"
"149",151,0,0.446170120837607,0.055,"Turkmenbashy","Turkmenistan",0,"Mitigation first","Asia"
"150",152,1,0.387759810946059,1.362,"Manama","Bahrain",0,"Mega all in","Asia"
"151",153,1,0.344920306588237,1.98,"Doha","Qatar",96,"Mega all in","Asia"
"152",154,0,0.585187230592028,0.063,"Kungrad","Uzbekistan",0,"Mitigation first","Asia"
"153",155,1,0.37934961043527,0.054,"Al Ruways Industrial city","United Arab Emirates",0,"Mega all in","Asia"
"154",156,3,0.341781644546457,0.247,"Salalah","Oman",4,"Urban planning first","Asia"
"155",157,0,0.424186428811289,0.106,"Le Port","Réunion",0,"Mitigation first","Africa"
"156",158,3,0.416653602010511,0.06,"Islam Qala","Afghanistan",0,"Urban planning first","Asia"
"157",159,3,0.496471776281277,0.557,"Port Louis","Mauritius",2,"Urban planning first","Small Islands"
"158",160,0,0.659891637051914,0.056,"Nijoni","Tajikistan",0,"Mitigation first","Asia"
"159",161,3,0.506241728847438,0.093,"Gwādar","Pakistan",5,"Urban planning first","Asia"
"160",162,0,0.798446375413001,0.063,"Kara-Balta","Kyrgyzstan",0,"Mitigation first","Asia"
"161",163,0,0.784659003741993,0.498,"Kashgar","China",10,"Mitigation first","Asia"
"162",164,0,0.756704011722011,0.388,"Kralpora","India",0,"Mitigation first","Asia"
"163",165,0,0.366353266392598,0.229,"Malé","Maldives",6,"Mitigation first","Small Islands"
"164",166,0,0.381724426510716,0.105,"Babathan","Nepal",0,"Mitigation first","Asia"
"165",167,2,0.746248433343887,0.199,"Jaffna","Sri Lanka",4,"Development first","Asia"
"166",168,0,0.592772165272877,0.098,"Erdenet","Mongolia",0,"Mitigation first","Asia"
"167",169,2,0.853886431921645,0.258,"Thakurgaon","Bangladesh",0,"Development first","Asia"
"168",170,3,0.357069767310004,0.077,"Phuntsholing","Bhutan",0,"Urban planning first","Asia"
"169",171,2,0.536000917327958,0.07,"Kyauktaw","Myanmar",0,"Development first","Asia"
"170",172,2,0.628153042277501,0.361,"Banda Aceh","Indonesia",34,"Development first","Asia"
"171",173,2,0.416370718029843,0.692,"Chiang Mai","Thailand",30,"Development first","Asia"
"172",174,2,0.455412507849233,0.064,"Luang Prabang","Laos",1,"Development first","Asia"
"173",175,3,0.459619538279271,0.059,"Điện Biên Phủ","Vietnam",0,"Urban planning first","Asia"
"174",176,0,0.298325891967897,0.757,"George Town","Malaysia",3,"Mitigation first","Asia"
"175",177,0,0.283917651093334,0.079,"Sampov Lun","Cambodia",0,"Mitigation first","Asia"
"176",178,1,0.395908884937126,5.118,"Singapore","Singapore",206,"Mega all in","Asia"
"177",179,0,0.516000914908646,0.085,"Mandurah","Australia",0,"Mitigation first","Australasia"
"178",180,0,0.832009918093323,0.309,"Sinuiju","North Korea",1,"Mitigation first","Asia"
"179",181,0,0.581643736086803,0.07,"Daegot","South Korea",0,"Mitigation first","Asia"
"180",182,0,0.414791241632657,0.245,"Dazhuang","Taiwan",0,"Mitigation first","Asia"
"181",183,1,0.460489294708542,0.077,"Bandar Seri Begawan","Brunei",0,"Mega all in","Asia"
"182",184,0,0.585870992275873,0.094,"Otaru","Japan",1,"Mitigation first","Asia"
"183",185,2,0.796466392953652,0.105,"Laoag","Philippines",1,"Development first","Asia"
"184",186,3,0.367720222568873,0.382,"Dili","Timor-Leste",0,"Urban planning first","Asia"
"185",187,0,0.570030211621014,0.084,"Dunedin","New Zealand",12,"Mitigation first","Australasia"
"186",189,2,0.65339740800411,0.137,"Honiara","Solomon Islands",2,"Development first","Small Islands"
"187",190,0,0.365711947772968,0.153,"Nouméa","New Caledonia",0,"Mitigation first","Small Islands"
"188",191,2,0.415445283135882,0.073,"Port Vila","Vanuatu",6,"Development first","Small Islands"
"189",192,3,0.391865479451929,0.054,"Lautoka","Fiji",2,"Urban planning first","Small Islands"
"190",193,0,0.542536621274423,0.542,"Honolulu","United States",28,"Mitigation first","Small Islands"
"191",194,0,0.423658492370936,0.06,"Fracc Villas del Real 2da Seccion","México",0,"Mitigation first","North America"
"192",195,0,0.574238857897767,0.078,"Nanaimo","Canada",5,"Mitigation first","North America"
"193",196,2,0.789843913058479,0.1,"Coatepeque","Guatemala",0,"Development first","South America"
"194",197,2,0.679451147681162,0.182,"Sonsonate","El Salvador",0,"Development first","South America"
"195",198,2,0.579240427639219,0.098,"Cofradía","Honduras",0,"Development first","South America"
"196",199,2,0.585840251421471,0.156,"León","Nicaragua",3,"Development first","South America"
"197",200,2,0.789236003779437,0.065,"Barranca","Costa Rica",0,"Development first","South America"
"198",201,3,0.628799776685137,0.1,"Paita","Peru",0,"Urban planning first","South America"
"199",202,3,0.709852734561678,0.285,"Manta","Ecuador",0,"Urban planning first","South America"
"200",203,1,0.344784973419644,0.188,"Colón","Panama",2,"Mega all in","South America"
"201",204,2,0.74108429081281,0.118,"Tumaco","Colombia",3,"Development first","South America"
"202",205,2,0.585165403171591,0.054,"Artemisa","Cuba",1,"Development first","Small Islands"
"203",206,2,0.616065951203576,0.097,"Mandeville","Jamaica",0,"Development first","Small Islands"
"204",207,3,0.513189513491382,0.053,"San Antonio del Táchira","Venezuela",0,"Urban planning first","South America"
"205",208,2,0.587208395561671,0.084,"Les Cayes","Haiti",1,"Development first","Small Islands"
"206",209,3,0.535334003992851,0.064,"San Juan de la Maguana","Dominican Republic",0,"Urban planning first","Small Islands"
"207",210,0,0.568749812559635,0.316,"Iquique","Chile",7,"Mitigation first","South America"
"208",211,2,0.518201221525587,0.331,"Rio Branco","Brazil",6,"Development first","South America"
"209",212,0,0.368910052622812,2.064,"La Paz","Bolivia",2,"Mitigation first","South America"
"210",213,3,0.298624696547066,0.749,"Bayamón [San Juan]","Puerto Rico",0,"Urban planning first","Small Islands"
"211",214,0,0.445419016383662,1.063,"Mendoza","Argentina",34,"Mitigation first","South America"
"212",215,2,0.600517990771218,0.119,"San Fernando","Trinidad and Tobago",0,"Development first","Small Islands"
"213",216,2,0.458419874039756,0.103,"Paradise","Guyana",0,"Development first","South America"
"214",217,3,0.326156037474326,1.175,"Asuncion","Paraguay",7,"Urban planning first","South America"
"215",218,0,0.601416676522764,0.082,"Paysandú","Uruguay",0,"Mitigation first","South America"
"216",219,3,0.423686013240098,0.161,"João Teves","Cabo Verde",0,"Urban planning first","Small Islands"
"217",220,3,0.438824164073353,0.506,"M'bour","Senegal",0,"Urban planning first","Africa"
"218",221,3,0.46117925625428,0.214,"Brikama","Gambia",0,"Urban planning first","Africa"
"219",222,3,0.481585009024943,1.625,"Nouakchott","Mauritania",8,"Urban planning first","Africa"
"220",223,0,0.421067773252362,0.055,"La Orotava","Spain",0,"Mitigation first","Small Islands"
"221",224,2,0.504981512337403,0.07,"Bafatá","Guinea-Bissau",0,"Development first","Africa"
"222",225,2,0.595774730821695,0.059,"Boké","Guinea",1,"Development first","Africa"
"223",226,3,0.397892893377622,0.052,"Boujdour","Western Sahara",1,"Urban planning first","Africa"
"224",227,2,0.681752617390032,0.097,"Mahera","Sierra Leone",0,"Development first","Africa"
"225",228,2,0.768984127837197,0.079,"Kakata","Liberia",0,"Development first","Africa"
"226",229,2,0.470981726022852,0.081,"Kita","Mali",0,"Development first","Africa"
"227",230,3,0.458423566981353,0.121,"Guelmim","Morocco",0,"Urban planning first","Africa"
"228",231,0,0.398986013958078,1.975,"Lisbon","Portugal",207,"Mitigation first","Europe"
"229",232,2,0.50685999409902,0.206,"Man","Côte d'Ivoire",0,"Development first","Africa"
"230",233,0,0.380762697678987,0.137,"Cork","Ireland",34,"Mitigation first","Europe"
"231",234,2,0.462249865715792,0.188,"Banfora","Burkina Faso",1,"Development first","Africa"
"232",235,0,0.581624792671759,0.437,"Belfast","United Kingdom",35,"Mitigation first","Europe"
"233",236,0,0.565275406022551,0.072,"Lorient","France",0,"Mitigation first","Europe"
"234",237,2,0.595223192058462,0.138,"Kato","Ghana",0,"Development first","Africa"
"235",238,3,0.421315650211189,0.112,"Maghnia","Algeria",0,"Urban planning first","Africa"
"236",239,3,0.494457338672458,0.216,"Dapaong","Togo",1,"Urban planning first","Africa"
"237",240,2,0.568407775333037,0.067,"Natitingou","Benin",2,"Development first","Africa"
"238",241,2,0.51086735369815,0.08,"Tillabéri","Niger",0,"Development first","Africa"
"239",242,0,0.567472515936077,0.051,"Roeselare","Belgium",0,"Mitigation first","Europe"
"240",243,2,0.571756161230548,0.087,"Meko","Nigeria",0,"Development first","Africa"
"241",244,0,0.434860065826546,2.174,"Rotterdam [The Hague]","Netherlands",239,"Mitigation first","Europe"
"242",245,0,0.516805492485163,0.052,"Lagunen","Norway",0,"Mitigation first","Europe"
"243",246,0,0.574736720942617,0.226,"Mönchengladbach","Germany",0,"Mitigation first","Europe"
"244",247,0,0.545205133266988,0.289,"Lausanne","Switzerland",23,"Mitigation first","Europe"
"245",248,0,0.597228765076557,0.065,"Savona","Italy",1,"Mitigation first","Europe"
"246",249,0,0.558515153744763,0.253,"Aarhus","Denmark",27,"Mitigation first","Europe"
"247",250,3,0.528568139208677,0.06,"Jendouba","Tunisia",0,"Urban planning first","Africa"
"248",251,0,0.598736823488499,0.05,"Borås","Sweden",1,"Mitigation first","Europe"
"249",252,0,0.516632649171998,0.144,"Innsbruck","Austria",22,"Mitigation first","Europe"
"250",253,2,0.73119416634002,0.189,"Buea","Cameroon",7,"Development first","Africa"
"251",255,0,0.359738165883248,0.79,"Bata","Equatorial Guinea",0,"Mitigation first","Africa"
"252",256,0,0.585284157175218,0.059,"Ústí nad Labem","Czechia",0,"Mitigation first","Europe"
"253",257,0,0.659777303626649,0.06,"Stargard","Poland",0,"Mitigation first","Europe"
"254",258,0,0.440737246217752,1.248,"Tripoli","Libya",28,"Mitigation first","Africa"
"255",259,3,0.43623361902009,0.405,"Moçâmedes","Angola",0,"Urban planning first","Africa"
"256",260,0,0.571387955658869,0.08,"Maribor","Slovenia",14,"Mitigation first","Europe"
"257",261,0,0.797297233233721,0.068,"Zadar","Croatia",7,"Mitigation first","Europe"
"258",262,2,0.80077478705369,0.133,"Tshela","Democratic Republic of the Congo",0,"Development first","Africa"
"259",263,0,0.593607311964578,0.056,"Szombathely","Hungary",0,"Mitigation first","Europe"
"260",264,2,0.543549063602872,0.06,"Sibiti","Republic of the Congo",0,"Development first","Africa"
"261",265,0,0.581014671345018,0.056,"Trnava","Slovakia",3,"Mitigation first","Europe"
"262",266,3,0.359515873197098,0.077,"Swakopmund","Namibia",0,"Urban planning first","Africa"
"263",267,0,0.780659193343649,0.065,"Zenica","Bosnia and Herzegovina",2,"Mitigation first","Europe"
"264",268,2,0.521494730352818,0.13,"Pala","Chad",1,"Development first","Africa"
"265",269,0,0.580328838444408,0.084,"Oulu","Finland",11,"Mitigation first","Europe"
"266",270,2,0.52000451242579,0.09,"Carnot","Central African Republic",0,"Development first","Africa"
"267",271,0,0.611669959113813,0.287,"Novi Sad","Serbia",60,"Mitigation first","Europe"
"268",272,0,0.71651261746504,0.153,"Podgorica","Montenegro",9,"Mitigation first","Europe"
"269",273,0,0.782431907072936,0.132,"Durrës","Albania",6,"Mitigation first","Europe"
"270",274,0,0.552872138275466,0.051,"Masiphumelele","South Africa",0,"Mitigation first","Africa"
"271",275,0,0.595841682841556,0.237,"Kaunas","Lithuania",21,"Mitigation first","Europe"
"272",276,0,0.59478120320131,0.336,"Timișoara","Romania",4,"Mitigation first","Europe"
"273",277,0,0.831716855760196,0.051,"Gjakova","Kosovo",2,"Mitigation first","Europe"
"274",278,0,0.589199253324743,0.273,"Murmansk","Russia",8,"Mitigation first","Europe"
"275",279,0,0.836819116245005,0.071,"Tetovo","North Macedonia",0,"Mitigation first","Europe"
"276",280,0,0.659769486591743,0.398,"Brest","Belarus",11,"Mitigation first","Europe"
"277",281,0,0.683036017518276,0.071,"Mukachevo","Ukraine",0,"Mitigation first","Europe"
"278",282,0,0.614131400375974,0.074,"Tartu","Estonia",8,"Mitigation first","Europe"
"279",283,0,0.689532840799626,0.051,"Daugavpils","Latvia",4,"Mitigation first","Europe"
"280",284,0,0.728560881902291,0.146,"Patras","Greece",18,"Mitigation first","Europe"
"281",285,0,0.743011597507804,0.332,"Plovdiv","Bulgaria",8,"Mitigation first","Europe"
"282",286,2,0.521415583013106,0.088,"Khorbranga","Sudan",0,"Development first","Africa"
"283",287,0,0.700927278370961,0.129,"Çanakkale","Turkey",6,"Mitigation first","Europe"
"284",288,0,0.740875949655539,0.068,"Rybnitsa","Moldova",1,"Mitigation first","Europe"
"285",289,3,0.506825029791318,0.122,"Molepolole","Botswana",0,"Urban planning first","Africa"
"286",290,3,0.623377535444659,0.052,"Mwinilunga","Zambia",0,"Urban planning first","Africa"
"287",291,1,0.475298231892779,6.931,"Alexandria","Egypt",94,"Mega all in","Africa"
"288",292,2,0.572613643818581,0.103,"Yambio","South Sudan",0,"Development first","Africa"
"289",293,3,0.584654208027432,0.055,"Mkoba","Zimbabwe",0,"Urban planning first","Africa"
"290",294,0,0.480733731046494,0.191,"Limassol","Cyprus",10,"Mitigation first","Europe"
"291",295,0,0.418816613401453,1.403,"Bujumbura","Burundi",8,"Mitigation first","Africa"
"292",296,2,0.417196451268602,0.144,"Musanze","Rwanda",2,"Development first","Africa"
"293",297,3,0.382048493400157,0.19,"Kasulu","Tanzania",0,"Urban planning first","Africa"
"294",298,2,0.510781683454466,0.1,"Kasese","Uganda",0,"Development first","Africa"
"295",299,0,0.343816356356212,3.533,"Maputo","Mozambique",50,"Mitigation first","Africa"
"296",300,3,0.404017537388316,0.311,"Deir el-Balah","Palestine",0,"Urban planning first","Asia"
"297",301,0,0.441313482081133,0.282,"Ashdod","Israel",1,"Mitigation first","Asia"
"298",302,0,0.430564563575471,0.207,"Sidon","Lebanon",0,"Mitigation first","Asia"
"299",303,3,0.634625112337315,0.096,"Jablah","Syria",0,"Urban planning first","Asia"
"300",304,3,0.404670042879902,0.08,"Der Abi Saeed","Jordan",0,"Urban planning first","Asia"
"301",305,3,0.425725257314476,0.16,"Likuni","Malawi",0,"Urban planning first","Africa"
